ax,ay,az,gx,gy,gz,toe,heel
-0.8638,-0.243,0.6222,-19.46,45.57,5.46,9,4
-0.7027,-0.0156,0.3958,5.11,-18.69,18.48,6,4
-0.6939,0.7471,0.4392,-44.38,-43.4,18.69,0,7
-0.6261,1.2571,1.4708,181.3,-40.11,-1.96,0,8
-0.4182,0.1474,1.1361,-1.33,67.69,-11.83,5,5
-0.8721,0.0805,0.6549,-4.27,55.93,-15.4,8,8
-0.8198,0.1591,0.4568,16.38,2.59,-13.23,6,9
-0.6739,0.3196,0.3904,23.73,-51.17,-11.62,8,2
-1.5382,-1.096,1.0316,-70,-131.46,28.56,5,8
-0.1396,0.0874,1.3776,3.78,-16.8,-10.43,9,0
-0.5124,0.0961,1.0502,-7.35,73.64,-8.47,6,4
-0.9516,-0.0747,0.6568,-16.38,57.26,-6.58,3,9
-0.7754,-0.0215,0.3924,48.3,-6.3,1.12,9,6
-0.6383,0.469,0.306,13.16,-58.03,-6.51,7,2
-0.1718,-1.688,0.669,-7.77,-114.87,11.13,9,5
-0.1391,-0.3841,1.2073,-41.37,28.7,-11.48,4,11
-0.6515,0.1176,0.876,-17.85,84.49,-9.1,6,8
-0.7501,-0.0991,0.5085,30.87,35.98,-7.35,9,7
-0.6573,0.0356,0.367,38.78,-19.46,1.54,7,1
-0.7505,0.6949,0.324,-8.96,-58.59,1.19,10,7
0.5153,-1.4669,0.5778,131.46,-70.21,17.22,0,7
-0.0869,-0.2738,1.221,6.86,11.2,-10.78,6,7
-0.5402,0.041,0.934,-16.45,78.4,-2.45,9,8
-0.7857,-0.101,0.5436,20.09,41.02,6.3,7,5
-0.6998,-0.1562,0.3865,9.8,-34.65,16.38,9,5
-0.6895,0.5675,0.345,-31.85,-52.57,14.7,6,10
-0.1088,-0.1083,1.3479,174.09,-33.46,10.57,7,6
-0.4856,0.0132,1.1917,4.97,51.17,-12.81,7,7
-0.8721,0.0551,0.7735,-16.94,73.08,-5.81,4,12
-0.7183,0.121,0.4665,0.98,24.64,-1.96,7,5
-0.612,0.0673,0.3723,9.94,-37.31,5.32,8,2
-1.0424,-0.2347,0.995,-61.46,-70.84,20.37,9,7
-0.4314,-0.0142,1.219,-45.22,-44.94,0.56,10,10
-0.4646,0.0683,1.0985,0.35,44.03,-4.55,9,8
-0.7784,0.1459,0.7266,-17.08,53.55,-3.57,3,1
-0.7393,0.0439,0.4987,15.05,6.51,2.8,3,11
-0.7579,0.1649,0.3958,14.28,-43.4,5.74,3,10
-0.02,-0.5026,0.7691,50.26,-50.89,4.9,6,8
-0.344,0.161,1.2044,7.35,21.63,-7.91,0,8
-0.6486,0.1288,0.893,-12.39,70,-2.17,3,0
-0.792,-0.0883,0.5124,19.04,29.75,-2.24,6,5
-0.6622,-0.1322,0.3933,19.88,-26.32,-3.36,5,1
-0.9628,0.7471,0.4343,-66.92,-48.3,-0.56,0,2
-0.3196,0.5324,1.3186,-85.47,-18.62,-0.77,7,9
-0.5207,0.0532,1.0126,-2.73,46.69,-1.12,7,10
-0.8228,0.0961,0.6525,-15.26,34.58,-6.72,7,8
-0.733,-0.0098,0.4236,16.45,-12.32,-1.89,9,8
-0.7593,0.3148,0.4856,-12.74,-58.59,-2.45,5,9
-0.5119,0.7422,1.2122,26.95,-69.23,12.74,9,5
-0.3538,0.1098,1.1907,-15.05,24.78,-6.72,10,6
-0.632,0.1171,0.8779,-4.62,69.51,-3.29,6,3
-0.8394,-0.1879,0.5431,1.26,35.98,0.84,1,5
-0.673,-0.0805,0.3855,17.01,-24.5,10.15,5,6
-0.8965,0.8901,0.4387,-52.71,-59.71,1.12,5,7
-0.3928,1.2625,1.505,89.32,-40.18,-3.29,6,4
-0.4524,0.1547,1.1136,2.52,67.55,-4.41,0,3
-0.9018,0.0132,0.6954,-12.18,65.8,-4.13,6,5
-0.7481,0.0644,0.4319,-6.72,20.79,-3.5,4,3
-0.7305,0.1318,0.3514,20.86,-42.42,4.27,8,9
-0.9584,-0.3221,0.8496,-17.22,-85.05,15.33,5,8
-0.3094,0.0195,1.2468,-13.93,-51.17,3.92,3,5
-0.4255,-0.0034,1.1039,0.91,41.16,-5.11,8,6
-0.7588,0.1547,0.7505,-14.77,55.79,-0.35,6,6
-0.7598,0.1196,0.4529,8.82,-1.54,8.19,7,8
-0.7462,0.1074,0.4324,0.98,-52.22,13.02,7,8
-0.3982,-0.0542,1.0643,79.03,-61.81,11.27,4,5
-0.3333,0.2538,1.1858,-8.26,12.25,-8.75,6,6
-0.6393,0.0566,0.8745,2.31,47.88,-0.7,5,8
-0.7584,-0.0917,0.5827,-2.73,14.14,3.99,7,8
-0.7398,0.1415,0.4485,-5.53,-26.88,8.33,8,9
-0.4982,0.0464,0.896,50.82,-45.36,6.51,5,9
-0.3572,0.284,1.1483,-2.03,8.96,-6.09,8,8
-0.6285,0.0429,0.855,3.92,42,-2.24,6,6
-0.7281,-0.0595,0.5871,8.05,12.04,0.35,3,3
-0.734,0.1337,0.4929,-7.21,-22.19,2.8,8,7
-0.6315,0.286,0.956,30.38,-35.42,5.67,8,0
-0.4602,0.2762,1.0721,-11.41,8.12,-2.66,8,7
-0.6564,0.0171,0.8369,4.83,32.76,-0.84,6,8
-0.7515,-0.0083,0.6403,-3.22,12.04,1.54,9,8
-0.753,0.1152,0.5832,-9.87,-21.21,5.04,7,3
-0.5832,0.2094,0.9945,2.17,-37.24,8.47,4,6
-0.4753,0.1401,1.0536,-6.09,4.97,-4.06,1,10
-0.6378,0.0508,0.8721,5.25,27.65,-3.71,9,6
-0.7374,0.0625,0.6237,-2.94,4.34,1.12,6,2
