ax,ay,az,gx,gy,gz,toe,heel
-0.5641,0.0747,0.8516,0,-1.89,1.33,98,551
-0.5563,0.0893,0.8613,-0.42,-1.68,0.98,97,529
-0.5602,0.0781,0.8501,-0.77,-1.26,0.77,93,482
-0.5666,0.0712,0.8477,0,-1.33,1.68,83,464
-0.5622,0.0903,0.855,-0.07,-1.54,1.26,85,453
-0.5632,0.0771,0.8535,-0.49,-1.4,0.98,86,440
-0.5671,0.0795,0.8516,0.07,-1.61,1.33,86,418
-0.5666,0.0795,0.8491,-0.14,-1.68,1.12,83,396
-0.5632,0.0864,0.856,-0.21,-1.75,0.91,85,374
-0.569,0.081,0.8491,-0.84,-1.61,0.77,89,342
-0.5646,0.0781,0.8511,-0.28,-1.75,0.98,89,337
-0.5651,0.0834,0.8516,-0.42,-1.96,0.98,90,315
-0.5646,0.0903,0.8462,-0.63,-2.24,0.49,90,315
-0.5661,0.0766,0.8506,-0.21,-2.66,0.63,91,305
-0.5671,0.0864,0.8491,-0.7,-2.73,0.98,97,313
-0.5632,0.08,0.8545,-0.63,-2.59,1.12,89,319
-0.5661,0.0805,0.853,-0.7,-1.47,1.19,93,320
-0.5675,0.0776,0.8491,-0.28,-1.19,1.33,95,291
-0.5724,0.0795,0.8467,-0.56,-2.66,1.4,93,300
-0.5646,0.0815,0.8496,-0.63,-2.38,1.05,90,302
-0.5675,0.0737,0.8564,-0.14,-2.45,0.91,87,290
-0.5661,0.081,0.8496,-0.07,-1.96,1.54,90,288
-0.569,0.0825,0.8501,-0.49,-2.17,1.4,76,296
-0.5719,0.08,0.8477,0.28,-1.96,1.89,70,285
-0.5685,0.0795,0.8481,-0.07,-2.24,2.38,61,289
-0.571,0.0893,0.8496,-0.28,-3.15,1.89,46,314
-0.5661,0.0693,0.8525,-0.28,-2.59,1.68,36,322
-0.5666,0.0903,0.8506,-0.77,-2.17,1.68,35,329
-0.5636,0.0791,0.8491,0,-2.66,0.7,33,325
-0.5671,0.08,0.8506,-0.7,-1.96,1.12,37,324
-0.5705,0.0859,0.8496,-0.35,-1.75,1.19,40,329
-0.5671,0.0874,0.8506,-0.63,-1.96,0.63,40,327
-0.5695,0.081,0.8472,-0.42,-1.4,1.12,45,319
-0.5671,0.0791,0.8501,-0.21,-1.82,0.84,48,312
-0.571,0.0771,0.8481,-0.07,-0.91,1.68,43,296
-0.571,0.081,0.8481,0.35,-0.35,1.47,44,271
-0.5705,0.0878,0.8506,0.7,-0.49,1.12,40,284
-0.5641,0.0683,0.8233,5.67,0.07,1.05,53,253
-0.5719,0.0981,0.8472,0,-1.12,1.26,56,238
-0.5724,0.0854,0.8394,0.63,-0.7,1.26,55,225
-0.5739,0.0947,0.8477,0.14,-0.98,0.98,62,210
-0.5734,0.0937,0.8418,0.21,-1.54,1.54,72,199
-0.571,0.0898,0.8477,0.35,-1.54,0.7,75,200
-0.5729,0.063,0.8394,3.08,-0.14,0.98,79,173
-0.5778,0.0952,0.8403,0.35,-2.1,1.33,80,158
-0.5768,0.0878,0.8442,-0.14,-2.52,1.05,77,155
-0.5734,0.0888,0.8462,-0.28,-1.19,1.33,78,159
-0.5797,0.0878,0.8423,0.21,-1.47,1.26,79,156
-0.5793,0.0898,0.8428,0.42,-1.47,1.26,78,149
-0.5793,0.0883,0.8433,-0.42,-1.47,1.33,75,138
-0.5856,0.0908,0.8413,-0.07,-1.96,1.12,80,115
-0.5827,0.0898,0.8398,-0.35,-1.61,1.12,78,122
-0.5793,0.0927,0.8433,0.21,-1.47,1.26,80,123
-0.5822,0.0625,0.835,-0.35,-0.98,1.47,76,111
-0.5797,0.0952,0.8389,0,-1.82,0.91,72,102
-0.5797,0.0942,0.8398,-0.84,-1.68,1.4,62,99
-0.5807,0.0971,0.8384,-0.63,-1.47,1.05,69,98
-0.5861,0.0917,0.8394,-0.49,-1.19,0.98,52,101
-0.5861,0.0898,0.8398,-1.12,-1.33,1.19,45,106
-0.5861,0.0888,0.8359,-1.47,-1.19,1.4,38,111
-0.5866,0.0903,0.8379,-1.05,-1.68,1.05,29,112
-0.588,0.0898,0.8345,-0.7,-1.96,1.05,23,104
-0.5851,0.0878,0.8355,-0.49,-2.24,1.26,28,111
-0.5856,0.0932,0.8355,-0.28,-2.38,1.19,30,113
-0.5866,0.0908,0.8379,-0.56,-2.94,1.12,32,112
-0.5832,0.0937,0.8369,-0.49,-3.08,0.98,32,110
-0.5841,0.0893,0.8384,-0.7,-2.73,1.05,29,107
-0.5841,0.0971,0.8384,-0.63,-2.73,1.05,31,103
-0.5836,0.0864,0.8379,-0.63,-2.66,1.26,25,108
-0.5846,0.0932,0.8355,-0.77,-2.45,1.19,28,107
-0.5866,0.0922,0.8379,-0.21,-2.73,1.19,27,110
-0.5866,0.0883,0.8355,-0.35,-2.8,1.26,32,114
-0.5836,0.0927,0.8364,-0.35,-3.01,0.91,25,118
-0.5827,0.0917,0.8374,-0.35,-2.94,1.19,25,124
-0.5871,0.0937,0.8359,-0.63,-2.87,1.12,28,131
-0.5851,0.0903,0.8394,-0.42,-2.38,1.4,24,143
-0.5807,0.0903,0.8369,-0.35,-2.8,1.47,23,150
-0.5841,0.0883,0.8394,-0.56,-2.94,1.4,19,159
-0.5836,0.0927,0.8384,-0.07,-2.24,1.33,24,183
-0.5827,0.0917,0.8389,-0.21,-2.8,1.19,17,195
-0.5851,0.0932,0.8394,-0.7,-2.31,1.82,17,203
-0.5817,0.0917,0.8374,-0.56,-2.73,1.47,18,218
-0.5797,0.0922,0.8389,-0.35,-2.59,1.33,15,222
-0.5851,0.0927,0.8403,-0.28,-2.73,1.47,14,234
-0.5822,0.0908,0.8394,-0.28,-2.45,1.61,19,243
-0.5807,0.0932,0.8403,-0.28,-3.36,1.54,13,258
-0.5812,0.0932,0.8408,-0.21,-3.15,1.54,18,272
-0.5822,0.0961,0.8384,-0.14,-3.29,1.19,15,275
-0.5822,0.0932,0.8423,-0.28,-3.36,1.54,21,285
-0.5788,0.0937,0.8418,-0.07,-3.01,1.19,18,307
-0.5812,0.0903,0.8433,-0.21,-3.22,1.33,19,320
-0.5788,0.0956,0.8423,0,-3.22,1.19,18,327
-0.5773,0.0952,0.8418,-0.49,-2.94,1.19,17,347
-0.5783,0.0903,0.8423,17.57,-2.94,0.7,17,356
-0.5758,0.0966,0.8433,-0.56,-2.45,1.4,19,351
-0.5768,0.0952,0.8423,-0.35,-2.59,1.33,15,351
-0.5788,0.0947,0.8418,-0.35,-2.87,1.26,24,349
-0.5763,0.0952,0.8423,-0.35,-3.22,1.47,24,352
-0.5754,0.0966,0.8408,-0.63,-3.22,1.19,16,362
-0.5749,0.0981,0.8462,-0.49,-3.08,1.19,12,365
-0.5768,0.0961,0.8428,-1.12,-3.08,1.05,16,370
-0.5749,0.0932,0.8438,-0.7,-3.15,1.26,15,376
-0.5778,0.0947,0.8428,-0.7,-3.01,1.33,12,375
-0.5729,0.0976,0.8442,-0.49,-2.8,1.19,16,383
-0.5768,0.0922,0.8447,-0.7,-2.59,1.12,10,393
-0.5739,0.0908,0.8438,-0.56,-2.31,1.19,16,405
-0.5749,0.0927,0.8447,-0.56,-2.8,1.4,15,400
-0.5734,0.0956,0.8418,0,-2.94,0.63,16,404
-0.5754,0.0937,0.8462,-0.63,-2.8,1.19,16,403
-0.5714,0.0942,0.8472,-0.77,-2.52,1.33,12,402
-0.5763,0.0971,0.8433,-0.63,-2.73,1.05,12,408
-0.5758,0.0908,0.8481,-0.49,-2.38,1.26,20,414
-0.5729,0.0986,0.8467,-0.56,-2.73,0.98,11,419
-0.5739,0.0927,0.8428,-0.63,-2.66,0.91,17,420
-0.5754,0.0917,0.8462,-0.35,-2.66,0.98,13,419
-0.5739,0.0947,0.8442,-0.28,-2.52,1.12,9,415
-0.5749,0.0927,0.8467,0,-2.66,1.19,7,415
-0.5754,0.0952,0.8438,-0.28,-2.52,1.33,7,407
-0.5729,0.0937,0.8457,-0.21,-2.45,1.19,11,413
-0.5734,0.0956,0.8457,-0.14,-2.66,1.12,9,414
-0.5739,0.0922,0.8457,-0.42,-2.45,1.33,12,421
-0.5705,0.0952,0.8438,-0.63,-2.1,1.47,16,414
-0.5729,0.0942,0.8457,-0.35,-2.66,1.05,12,412
-0.5734,0.0913,0.8462,-0.35,-2.38,1.19,11,416
-0.5714,0.0932,0.8462,-0.21,-2.8,0.84,16,412
-0.5758,0.0952,0.8452,-0.49,-2.94,1.19,14,416
-0.5714,0.0981,0.8433,-0.35,-2.45,1.19,10,413
-0.5734,0.0927,0.8423,-0.7,-2.31,1.26,15,424
-0.5714,0.0937,0.8477,-0.49,-2.45,1.12,14,417
-0.5754,0.0947,0.8442,-0.35,-2.52,1.47,11,416
-0.5729,0.0908,0.8433,-0.49,-2.24,1.19,12,424
-0.5719,0.0956,0.8491,-0.14,-2.59,1.19,9,422
-0.5739,0.0961,0.8467,-0.35,-2.24,1.12,13,424
-0.57,0.0942,0.8472,-0.28,-2.45,1.33,8,424
-0.571,0.0961,0.8467,-0.42,-2.52,1.4,9,426
-0.5758,0.0932,0.8462,-0.42,-2.66,1.4,7,435
-0.5734,0.0947,0.8462,-0.35,-2.66,1.19,10,436
-0.5705,0.0966,0.8477,-0.49,-2.45,1.19,8,434
-0.5705,0.0917,0.8452,-0.49,-2.59,1.54,4,437
-0.5719,0.0981,0.8477,-0.7,-2.66,1.33,5,448
-0.5719,0.0942,0.8462,-0.42,-2.59,1.33,9,439
-0.5714,0.0937,0.8477,-0.49,-2.59,1.26,11,443
-0.57,0.0947,0.8506,-0.42,-2.31,1.33,7,441
-0.5695,0.0937,0.8472,-0.63,-2.17,1.54,6,440
-0.5729,0.0966,0.8447,-0.56,-2.38,1.4,10,440
-0.5695,0.0937,0.8491,-0.84,-2.24,1.19,8,448
-0.5719,0.0971,0.8467,-0.49,-2.66,1.33,10,443
-0.5695,0.0947,0.8477,-0.49,-2.38,1.26,4,442
-0.571,0.0952,0.8467,-0.21,-2.52,1.05,3,444
-0.5719,0.0937,0.8481,-0.49,-2.38,1.12,8,443
-0.5729,0.0956,0.8477,-0.35,-2.24,1.12,8,446
-0.57,0.0947,0.8442,-0.63,-2.59,1.19,8,442
-0.5714,0.0956,0.8477,-0.42,-2.59,1.12,8,446
-0.5714,0.0942,0.8442,-0.42,-2.52,0.91,5,441
-0.5729,0.0942,0.8481,-0.63,-2.45,1.05,9,440
-0.5744,0.0971,0.8452,-0.77,-2.38,1.26,12,444
-0.57,0.0927,0.8462,-0.28,-2.45,0.91,7,440
-0.5724,0.0971,0.8457,-0.35,-2.38,1.12,10,442
-0.5724,0.0961,0.8491,-0.35,-2.24,1.05,7,440
-0.5705,0.0961,0.8452,-0.63,-2.17,1.33,5,448
-0.5714,0.0956,0.8481,-0.35,-2.59,0.77,7,436
-0.5734,0.0966,0.8457,-0.35,-2.45,1.19,12,440
-0.571,0.0942,0.8462,-0.56,-2.1,1.4,6,435
-0.5719,0.0942,0.8472,-0.28,-2.52,1.19,7,435
-0.57,0.0966,0.8447,-0.28,-2.52,1.05,3,442
-0.5705,0.0961,0.8477,-0.42,-2.38,1.26,7,443
-0.5719,0.0952,0.8447,-0.35,-2.31,1.26,7,447
-0.5714,0.0966,0.8496,-0.7,-2.38,1.19,7,441
-0.5705,0.0922,0.8452,-0.42,-2.31,1.33,8,440
-0.5734,0.0961,0.8477,-0.63,-2.31,1.26,12,441
-0.57,0.0947,0.8462,-0.42,-2.31,1.19,4,444
-0.5705,0.0961,0.8467,-0.14,-2.66,0.91,12,442
-0.5724,0.0952,0.8472,-0.28,-2.8,1.19,12,448
-0.5724,0.0952,0.8472,-0.56,-2.1,1.26,9,445
-0.5705,0.0981,0.8472,-0.7,-2.24,1.54,8,448
-0.5734,0.0956,0.8467,-0.28,-2.52,1.12,8,441
-0.57,0.0971,0.8486,-0.49,-2.31,0.63,5,439
-0.5724,0.0966,0.8481,-0.63,-2.31,1.33,5,440
-0.5695,0.0932,0.8467,-0.35,-2.52,0.98,5,439
-0.5724,0.0966,0.8481,-0.56,-2.1,1.05,3,441
-0.5695,0.0966,0.8447,-0.21,-2.38,0.84,13,442
-0.5729,0.0966,0.8457,-0.77,-2.31,1.26,9,443
-0.571,0.0942,0.8462,-0.14,-2.45,0.77,5,445
-0.5705,0.0976,0.8457,-0.42,-1.96,1.26,6,440
-0.5739,0.0961,0.8462,-0.35,-2.59,0.91,8,442
-0.5729,0.0952,0.8447,-0.42,-2.66,1.12,3,444
-0.571,0.0932,0.8477,-0.63,-2.52,1.47,9,444
-0.5729,0.0956,0.8511,-0.35,-2.1,1.33,6,448
-0.5719,0.0966,0.8447,-0.49,-2.24,1.47,9,443
-0.5729,0.0947,0.8477,-0.35,-2.52,0.91,8,443
-0.5714,0.0971,0.8472,-0.42,-2.45,1.26,5,448
-0.571,0.0971,0.8481,-0.49,-2.24,0.98,10,443
-0.5705,0.0991,0.8447,-0.14,-2.31,1.26,8,445
-0.571,0.0937,0.8486,-0.56,-2.38,1.26,9,443
-0.5705,0.0981,0.8472,-0.35,-2.45,1.05,9,448
-0.5724,0.0947,0.8467,-0.42,-2.31,1.26,10,441
-0.5705,0.0991,0.8481,-0.42,-2.73,0.84,3,445
-0.5734,0.0942,0.8438,-0.49,-2.31,1.12,7,439
-0.5685,0.0961,0.8486,-0.35,-2.87,0.84,16,437
-0.5714,0.0976,0.8491,-0.63,-2.03,1.33,10,439
-0.569,0.0937,0.8472,-0.35,-2.59,0.77,5,439
-0.569,0.0976,0.8447,-0.14,-2.24,1.12,8,446
-0.57,0.0937,0.8481,-0.28,-2.45,1.05,5,439
-0.569,0.0961,0.8467,-0.56,-2.24,1.19,5,444
-0.5739,0.0961,0.8467,-0.42,-2.59,1.12,5,440
-0.5724,0.0947,0.8457,-0.35,-2.17,1.33,8,441
-0.5734,0.0971,0.8457,-0.28,-2.59,0.91,3,442
-0.5695,0.0952,0.8477,-0.35,-2.45,1.19,8,441
-0.5671,0.0996,0.8457,-0.35,-2.17,1.4,6,442
-0.5734,0.0947,0.8486,-0.28,-2.45,0.98,8,444
-0.571,0.0966,0.8467,-0.28,-2.52,1.19,7,442
-0.57,0.0976,0.8442,-0.42,-2.31,1.19,12,446
-0.5734,0.0966,0.8477,-0.7,-2.52,1.19,3,446
-0.571,0.0981,0.8467,-0.42,-2.24,1.47,8,446
-0.571,0.0971,0.8442,-0.28,-2.66,1.05,0,442
-0.569,0.1,0.8481,-0.7,-2.1,1.26,10,450
-0.5714,0.0986,0.8457,-0.35,-2.66,0.84,8,447
-0.5705,0.0942,0.8457,-0.28,-2.45,1.54,6,447
-0.5724,0.0937,0.8481,-0.28,-2.59,1.12,8,448
-0.5714,0.0966,0.8452,-0.35,-2.31,1.19,7,446
-0.5729,0.0952,0.8472,-0.07,-3.08,1.05,0,448
-0.568,0.0966,0.8447,-0.21,-2.66,0.91,5,447
-0.5705,0.0956,0.8462,-0.49,-2.66,1.12,3,449
