ax,ay,az,gx,gy,gz,heel,toe
-1.3596,-0.0425,0.5529,-22.7500,-113.8900,80.8500,8,6
-2.4756,0.2308,0.3826,15.5400,-38.9200,87.5700,6,16
-1.7954,-0.3924,-0.3660,-3.7800,-39.9000,8.4000,3,1
-1.6904,-0.1425,-0.5036,12.9500,60.4800,-42.1400,0,4
-0.7086,1.1634,-0.4665,-159.1800,9.2400,-13.6500,12,7
-0.6217,0.8320,1.1478,46.1300,22.8900,-10.9900,68,3
-0.8359,0.2113,0.7471,51.8000,20.0200,12.3200,276,7
-0.6588,0.0722,0.7710,11.2000,-15.3300,3.9200,401,8
-0.5407,0.0864,0.8682,-35.3500,-30.0300,-14.9800,520,6
-0.4460,-0.1220,0.9736,-7.4900,-7.9800,-2.1700,589,0
-0.4573,0.0996,0.9511,9.9400,21.7000,4.9000,635,6
-0.5231,0.1220,0.9243,5.7400,37.5200,2.3100,665,6
-0.5285,0.0659,0.8935,7.9800,54.3900,1.5400,685,1
-0.5861,0.0927,0.8330,8.1900,61.6000,-0.1400,690,7
-0.6422,0.1088,0.7735,4.6900,59.3600,-7.6300,715,5
-0.6705,0.1074,0.7393,1.7500,53.4100,-10.9900,742,8
-0.6939,0.0405,0.7135,-0.0700,48.2300,-6.0200,778,6
-0.6969,0.0795,0.7310,1.6800,47.8100,-0.5600,822,6
-0.6891,0.1030,0.7579,4.2700,54.6000,-1.6800,835,11
-0.6534,0.1322,0.8359,0.3500,84.0700,-8.8900,855,12
-0.5788,0.0366,0.9043,8.4700,154.2800,-1.7500,811,6
-0.5344,0.0634,1.0907,4.9000,269.5000,0.9800,482,0
-1.5567,-0.0703,1.1170,8.6100,368.0600,5.0400,126,8
-2.5356,0.2464,1.3498,63.7700,347.9000,-19.6000,14,10
-1.0375,-0.0634,1.3615,85.8200,154.3500,-36.2600,20,7
-0.0703,0.5802,1.7202,48.6500,-113.0500,-68.8800,16,0
0.0005,0.1581,0.9604,37.8000,-178.9900,-39.9000,14,4
-0.1913,0.2430,0.8179,14.7000,-254.4500,15.4700,10,11
-0.4607,-0.1810,0.7403,45.4300,-301.9100,28.3500,24,7
-0.7901,-0.0483,0.8164,68.9500,-318.0800,-4.8300,21,4
-1.1463,0.1298,0.9228,83.0900,-298.7600,-20.3000,7,7
-1.0609,0.2816,0.7759,27.9300,-233.5200,1.6100,5,2
-1.4059,-0.1264,0.5378,33.2500,-125.4400,49.6300,0,3
-2.1082,-0.0229,0.3553,83.4400,-34.5800,92.1200,6,4
-2.0535,-0.3743,-0.2884,-40.4600,-78.6100,31.6400,5,4
-2.0042,-0.0649,-0.6647,-15.1200,42.2800,-44.0300,8,2
-1.3405,-0.0878,-0.7515,-0.9800,101.2900,-25.9700,8,2
-2.8128,-1.9666,2.2546,-242.5500,-130.6900,-11.9000,26,8
-0.5012,-0.5710,1.2098,-147.6300,-35.7700,3.9900,331,3
-0.5788,0.1410,0.9248,-47.7400,2.7300,12.9500,496,5
-0.5197,0.3123,0.9043,-1.2600,1.4700,-0.8400,563,0
-0.4982,0.0093,0.9462,-3.3600,10.4300,-1.9600,632,3
-0.4973,0.0532,0.9306,9.3800,29.1900,2.2400,672,8
-0.5553,0.0673,0.8569,6.9300,40.1800,5.8800,686,8
-0.5861,0.0854,0.8213,5.7400,40.4600,2.6600,677,6
-0.6115,0.0893,0.7881,8.1200,35.2800,2.0300,681,8
-0.6603,0.1810,0.7627,0.9800,26.0400,-6.7900,705,6
-0.6525,0.1015,0.7881,-5.5300,19.9500,-14.1400,749,3
-0.6212,-0.0117,0.8003,-2.3800,26.8800,-9.1000,809,3
-0.6437,0.0752,0.7930,7.0700,33.2500,-3.3600,838,8
-0.6598,0.1557,0.7959,2.1700,39.2000,-10.1500,879,7
-0.6237,0.0913,0.8477,-2.8700,57.5400,-16.8000,908,5
-0.5851,0.0273,0.8789,-6.5100,91.7700,-12.6000,929,4
-0.5134,0.1103,0.9736,-4.9000,154.2800,-9.7300,897,4
-0.5334,0.2572,1.0004,-20.4400,252.7700,-26.3200,635,10
-1.3254,0.2377,1.0985,-24.8500,324.1000,-53.6900,149,8
-1.6919,-0.1757,1.1610,-8.6100,340.2000,-62.0200,31,8
-1.4581,0.2308,1.1029,-20.5100,217.8400,-95.1300,19,3
-0.8228,0.3787,1.8534,68.5300,-37.8700,-31.3600,16,4
0.1093,0.3323,1.0780,-4.7600,-136.7100,-9.5200,17,0
-0.1737,0.2913,0.9243,32.5500,-220.7100,41.3700,22,3
-0.4163,-0.0278,0.7964,23.3800,-286.5100,64.4700,20,5
-0.6495,0.0732,0.8228,48.7900,-306.6000,56.6300,17,10
-1.1024,0.0410,0.9496,34.0900,-320.2500,36.4700,13,0
-1.0350,0.3943,0.9658,38.0800,-278.9500,29.9600,15,8
-1.1434,0.5402,0.7486,-12.3900,-148.4700,62.0200,11,5
-1.8315,-0.0508,0.6100,82.6000,-31.4300,140.1400,9,1
-1.9496,0.1069,0.1425,20.9300,-40.7400,118.0200,12,9
-1.9320,-0.5646,-0.8901,-19.9500,4.9700,-7.0000,6,8
-1.4679,0.2059,-0.9174,32.4100,101.5000,-12.7400,10,3
-5.3158,2.4498,0.7740,143.5000,131.8800,-158.4100,15,7
0.3348,0.5944,1.9510,295.9600,-60.0600,-46.2700,267,3
-0.4499,-1.4879,0.7608,15.9600,-2.8700,1.4000,532,12
-0.5490,-0.0166,0.8628,-3.2900,7.0000,4.2000,628,8
-0.5075,0.0712,0.9340,6.4400,16.0300,1.8900,672,8
-0.5075,0.0595,0.9233,16.4500,33.4600,3.3600,700,0
-0.5744,0.2259,0.8379,9.4500,37.9400,-0.9800,708,8
-0.6207,0.1000,0.7540,-4.6900,23.3100,-9.5900,715,7
-0.6246,0.0405,0.8008,-9.8000,16.8000,-10.8500,745,6
-0.6154,0.0781,0.8047,-4.2700,12.8100,-8.6100,762,8
-0.6359,0.1064,0.7993,-4.0600,10.6400,-9.3800,824,3
-0.5851,0.0381,0.8433,-6.5100,13.7900,-13.0200,865,10
-0.5714,0.0156,0.8882,0.4200,31.0800,-7.9800,914,5
-0.6046,0.0639,0.8545,5.5300,50.2600,-6.6500,952,8
-0.6129,0.1381,0.8540,2.8700,67.2700,-16.0300,967,10
-0.6071,0.0673,0.8516,-0.1400,93.5900,-20.4400,982,0
-0.5841,0.1020,0.8828,-8.3300,135.9400,-22.8200,967,6
-0.6998,0.2674,0.8145,-25.0600,195.0200,-42.0000,750,7
-1.4660,0.3392,1.0331,-60.1300,213.2200,-86.8000,161,3
-1.6304,0.3714,1.2927,-1.8200,219.7300,-102.9000,41,7
-0.9296,0.2577,1.6358,-18.4800,128.8000,-81.9000,23,4
-0.1366,0.5993,1.8476,-8.2600,-14.0700,55.5800,13,8
0.3792,-0.1283,1.4240,23.3800,-120.5400,71.2600,15,5
-0.0020,-0.1113,1.2517,54.9500,-207.2700,29.3300,16,6
-0.5285,-0.0547,1.2171,62.8600,-248.8500,26.3900,20,8
-0.8491,-0.0205,1.2190,40.5300,-264.1100,44.2400,12,7
-1.0390,0.0961,1.1878,33.3200,-251.6500,50.9600,10,9
-0.8657,-0.0176,0.9575,28.1400,-173.8100,61.9500,13,4
-1.0819,-0.1347,0.8828,30.5200,-94.9900,58.5200,17,1
-1.1336,-0.2420,0.6481,64.8900,-31.2200,66.0100,14,10
-2.3175,0.2499,0.2557,50.9600,-72.6600,47.9500,18,6
-1.0887,-0.0576,-0.5168,5.6000,6.3700,-8.1200,12,8
-1.5533,-0.1732,-0.2752,-48.8600,51.0300,-65.1700,18,9
-1.4845,0.6002,-0.3626,0.5600,128.8000,9.2400,6,4
-15.4237,-0.4763,5.6623,-119.0700,-328.1600,-70.7700,15,0
-1.3918,1.5592,0.9111,148.9600,-51.8700,-48.0200,487,8
-0.5636,0.4158,0.9926,-10.2900,16.3800,4.0600,755,4
-0.5070,0.0942,0.9433,9.7300,34.4400,3.0800,834,10
-0.5056,0.1161,0.9780,5.5300,56.8400,-2.5900,865,3
-0.5168,0.0464,0.9321,7.8400,87.5000,-5.3900,878,7
-0.5832,0.0234,0.8042,21.7000,106.2600,-2.5900,855,8
-0.7232,0.1606,0.6686,8.4700,95.9700,-6.6500,827,4
-0.8330,0.1669,0.5632,-3.7800,70.7700,-14.0000,803,6
-0.8374,0.1176,0.5817,-9.6600,43.2600,-21.1400,822,4
-0.8169,-0.0020,0.5871,-10.2900,27.8600,-15.0500,877,3
-0.7837,0.0215,0.6398,-2.6600,26.3900,-3.0800,942,5
-0.7222,0.0766,0.7476,-1.4000,45.0800,-6.1600,984,7
-0.6295,0.0859,0.8794,-10.8500,95.2000,-12.7400,991,9
-0.5251,0.1503,1.0253,-9.4500,193.0600,-23.6600,922,8
-0.9496,0.2957,1.1429,-46.8300,325.4300,-63.7000,466,4
-1.4220,0.1118,1.1224,-26.8800,409.1500,-74.8300,151,9
-2.5801,0.3167,1.1112,21.5600,351.8200,-82.3900,36,0
-0.9745,0.6339,1.4206,53.3400,93.1700,-51.1000,26,16
0.4353,0.3714,1.0370,-97.7200,-201.3900,33.6700,19,5
0.1118,-0.0786,0.6959,70.4900,-199.4300,40.1100,14,3
-0.3767,0.0966,0.7686,46.4800,-284.1300,36.9600,16,8
-0.4260,-0.2279,0.6388,79.8700,-334.1100,41.8600,16,8
-0.7022,-0.0239,0.7505,100.0300,-305.4800,47.5300,13,5
-1.1712,-0.0361,1.0170,71.8900,-316.7500,53.2700,16,3
-0.8686,0.1386,0.9672,48.5800,-255.4300,40.1800,15,4
-1.6368,-0.2216,0.7793,18.8300,-132.4400,74.9700,15,8
-3.1964,0.3821,0.4812,48.0200,-54.9500,117.9500,12,7
-2.1038,-0.6188,-0.8481,-27.7900,-75.0400,63.4900,7,7
-2.1916,-0.3967,-1.1766,27.6500,68.8800,-24.5700,7,9
-3.3613,2.1330,-0.0156,174.5800,185.7800,-112.9800,8,8
0.4294,-0.2235,1.8359,196.2100,-13.4400,-41.0900,38,4
-0.2948,-0.8989,0.7832,43.0500,6.0900,3.1500,239,4
-0.4724,-0.0859,0.8594,-15.8900,2.9400,3.5000,392,4
-0.5070,0.0844,0.8965,-0.6300,1.2600,-3.1500,489,3
-0.5080,0.0786,0.9052,4.6900,10.8500,-0.7000,574,6
-0.4778,0.0986,0.9492,4.7600,24.9200,-2.2400,647,8
-0.5100,0.1186,0.9145,4.2000,42.9100,-3.7800,686,0
-0.5719,0.0805,0.8623,5.3900,51.4500,-4.7600,733,10
-0.6085,0.1186,0.8198,9.8000,53.6200,-6.3000,770,4
-0.6554,0.1147,0.7696,4.8300,49.6300,-12.1800,796,2
-0.6695,0.0917,0.7530,1.3300,45.2900,-12.8800,831,9
-0.6812,0.0654,0.7471,2.4500,45.3600,-10.1500,866,8
-0.6969,0.0669,0.7320,2.5200,46.9000,-6.5100,918,3
-0.6744,0.1035,0.7676,-2.8000,55.0900,-5.1100,960,6
-0.6349,0.1254,0.8550,-16.4500,82.0400,-10.9900,995,0
-0.5656,0.1747,0.9433,-13.9300,140.1400,-17.9900,985,12
-0.5158,0.3811,0.9789,-29.7500,239.8200,-58.1000,870,9
-1.2537,0.0434,1.2034,-54.8100,352.7300,-83.4400,318,6
-1.8227,0.0102,0.9384,-8.5400,387.8000,-70.9100,48,6
-2.1140,0.1078,1.1107,14.8400,217.4900,-80.1500,29,3
-0.9033,0.0508,1.5723,35.4200,-43.8200,-26.6000,18,5
0.2904,0.0903,0.8564,30.5900,-142.3100,1.5400,18,8
-0.0234,0.2513,0.7559,50.2600,-206.4300,34.5100,18,5
-0.3762,-0.0195,0.7291,35.2100,-272.7200,62.3000,21,0
-0.6432,-0.1781,0.7735,89.8100,-306.2500,65.3100,16,8
-0.9536,-0.1552,0.8789,82.3900,-305.6900,48.0200,18,3
-1.0487,0.0229,1.0126,65.4500,-280.7000,35.4200,15,4
-0.9677,0.0395,0.9540,51.6600,-200.2700,34.5800,17,12
